DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing,Population,0-17,18-34,35-49,50-64,65-79,80+,Couple without children,Couple with children,One parent family,Other family,Median weekly household income,Median weekly rent,Medain monthly mortgage repayments,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Aboriginal/TSI,Overseas,Recent Migrant,LOTE spoken at home,Fully engaged,Partially engaged,At least partially engaged,Not engaged,Engagement status undertermined,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Year 12 equivalent,Cert III or higher,Preferred
Cowan,237,WA,ALP,41718,49.17,43135,50.83,84853,-0.15,153170,0.252,0.243,0.214,0.172,0.094,0.026,0.314,0.513,0.158,0.016,1620,380,1993,0.266,0.509,0.196,0.009,0.02,0.016,0.38,0.14,0.268,0.526,0.194,0.037,0.195,0.048,0.097,0.157,0.177,0.113,0.147,0.104,0.075,0.112,0.011,0.007,0.725,0.425,Labor
Cowper,113,NSW,NP,65302,61.88,40226,38.12,105528,-0.7,164058,0.212,0.169,0.165,0.212,0.176,0.066,0.457,0.335,0.196,0.012,1000,290,1517,0.398,0.261,0.297,0.014,0.031,0.061,0.116,0.027,0.044,0.41,0.219,0.035,0.259,0.077,0.115,0.19,0.138,0.133,0.125,0.107,0.055,0.119,0.009,0.008,0.564,0.415,Liberal
Cunningham,114,NSW,ALP,36841,36.59,63836,63.41,100677,-0.09,162773,0.209,0.255,0.189,0.18,0.117,0.05,0.368,0.448,0.167,0.017,1372,330,2000,0.343,0.297,0.322,0.01,0.028,0.022,0.224,0.068,0.179,0.547,0.179,0.031,0.191,0.052,0.11,0.26,0.14,0.122,0.134,0.086,0.053,0.08,0.009,0.006,0.776,0.493,Labor
Curtin,238,WA,LP,57296,64.33,31766,35.67,89062,-6.37,151384,0.212,0.25,0.199,0.175,0.116,0.048,0.402,0.463,0.117,0.018,2052,400,2500,0.341,0.307,0.317,0.012,0.022,0.006,0.332,0.142,0.167,0.585,0.179,0.026,0.144,0.065,0.161,0.393,0.081,0.09,0.114,0.077,0.02,0.05,0.01,0.004,0.874,0.607,Liberal
Dawson,158,QLD,LNP,57405,64.61,31446,35.39,88851,11.24,157233,0.235,0.227,0.2,0.196,0.11,0.032,0.41,0.423,0.154,0.013,1376,275,1758,0.288,0.334,0.337,0.009,0.031,0.055,0.135,0.057,0.066,0.506,0.17,0.037,0.188,0.099,0.117,0.152,0.174,0.105,0.119,0.094,0.106,0.118,0.008,0.007,0.644,0.407,Liberal
Deakin,209,VIC,LP,53288,54.78,43981,45.22,97269,-1.66,162276,0.223,0.227,0.213,0.174,0.119,0.046,0.35,0.486,0.149,0.015,1547,350,1809,0.344,0.39,0.237,0.008,0.022,0.004,0.272,0.102,0.223,0.568,0.197,0.031,0.165,0.038,0.126,0.258,0.136,0.103,0.15,0.1,0.039,0.073,0.008,0.006,0.796,0.525,Liberal
Dickson,252,QLD,LNP,52968,54.64,43980,45.36,96948,2.95,159328,0.259,0.215,0.22,0.18,0.104,0.023,0.348,0.498,0.143,0.012,1761,350,1900,0.286,0.46,0.228,0.01,0.017,0.02,0.188,0.061,0.072,0.567,0.191,0.033,0.168,0.041,0.123,0.206,0.145,0.116,0.166,0.095,0.056,0.079,0.009,0.006,0.792,0.501,Liberal
Dobell,115,NSW,ALP,49209,48.5,52244,51.5,101453,3.31,159598,0.237,0.204,0.187,0.183,0.135,0.054,0.359,0.422,0.205,0.014,1268,340,1733,0.323,0.35,0.28,0.015,0.031,0.043,0.131,0.025,0.053,0.487,0.201,0.035,0.22,0.056,0.107,0.166,0.16,0.126,0.135,0.11,0.068,0.111,0.01,0.006,0.616,0.416,Labor
Dunkley,210,VIC,ALP,45762,47.26,51066,52.74,96828,-1.71,159581,0.228,0.22,0.208,0.186,0.118,0.04,0.343,0.451,0.191,0.016,1381,310,1688,0.283,0.411,0.267,0.013,0.027,0.009,0.217,0.055,0.109,0.526,0.194,0.034,0.186,0.061,0.12,0.178,0.165,0.115,0.139,0.111,0.063,0.093,0.009,0.007,0.687,0.463,Labor
Durack,312,WA,LP,50332,64.76,27389,35.24,77721,3.7,186187,0.246,0.244,0.224,0.185,0.082,0.019,0.4,0.43,0.153,0.018,1656,188,1733,0.24,0.218,0.497,0.01,0.035,0.167,0.163,0.076,0.114,0.492,0.133,0.048,0.187,0.14,0.14,0.139,0.2,0.093,0.105,0.06,0.123,0.12,0.013,0.007,0.508,0.386,Liberal
