Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
59.85,NSW,0.247,0.215,0.183,0.107,0.035,0.126,2088,2383,0.354,0.201,0.044,0.164,0.187,0.033,0.136,0.139,0.238,0.138,0.105,0.173,0.044,0.056,0.006,0.8,59.28931517479034,0.5606848252096626,0.13916245742305716,0.17421792271119554,4.4520611620081265,1.2767961911781884e-4
62.99,NSW,0.252,0.213,0.184,0.118,0.034,0.146,1628,2000,0.329,0.123,0.021,0.063,0.184,0.038,0.167,0.134,0.158,0.162,0.112,0.144,0.085,0.096,0.007,0.608,59.89570036736306,3.0942996326369396,0.7412778340430166,0.11358982928576694,4.4421318526204425,0.0022004766565224244
47.02,NSW,0.238,0.212,0.187,0.132,0.046,0.182,1294,1733,0.335,0.09,0.02,0.035,0.19,0.036,0.239,0.097,0.144,0.177,0.113,0.123,0.118,0.117,0.008,0.522,49.66814330381612,-2.64814330381612,-0.6723063069844263,0.2107390384661448,4.4439596442787535,0.0037714535610499623
62.73,VIC,0.219,0.178,0.215,0.158,0.051,0.152,1116,1300,0.384,0.097,0.02,0.045,0.211,0.043,0.194,0.154,0.162,0.156,0.119,0.111,0.069,0.121,0.008,0.596,61.29367780454003,1.4363221954599652,0.3469590046483844,0.12819482301935947,4.450170864425896,5.531684366644826e-4
43.57,VIC,0.221,0.22,0.176,0.11,0.047,0.148,1578,2000,0.329,0.308,0.1,0.261,0.184,0.032,0.165,0.145,0.241,0.133,0.095,0.151,0.045,0.069,0.007,0.807,47.958824932415396,-4.388824932415396,-1.0727269885924224,0.1484892651020886,4.430843461575301,0.006270950408581039
43.43,VIC,0.221,0.224,0.183,0.119,0.043,0.144,1724,1993,0.374,0.223,0.069,0.2,0.199,0.032,0.158,0.137,0.29,0.127,0.102,0.15,0.031,0.058,0.006,0.834,45.5021328983096,-2.0721328983095972,-0.4979563207902998,0.11910379370104918,4.44778229281333,0.0010476913922629204
64.51,QLD,0.251,0.202,0.197,0.128,0.035,0.174,1197,1517,0.341,0.121,0.036,0.073,0.166,0.04,0.225,0.138,0.131,0.159,0.111,0.113,0.1,0.146,0.009,0.599,64.70118515490469,-0.19118515490468724,-0.04659903968353558,0.1436990463605557,4.452382849550411,1.1387579282202884e-5
41.19,NSW,0.175,0.342,0.147,0.092,0.036,0.148,1794,2520,0.254,0.425,0.189,0.364,0.133,0.027,0.123,0.145,0.311,0.101,0.101,0.142,0.039,0.059,0.007,0.844,43.72511252468524,-2.535112524685239,-0.6252562066374485,0.16372235875629873,4.445103783319926,0.002391792787440475
38.06,SA,0.224,0.223,0.193,0.126,0.038,0.18,1229,1456,0.289,0.226,0.062,0.08,0.217,0.036,0.207,0.094,0.161,0.167,0.138,0.152,0.058,0.104,0.005,0.691,40.176597035040444,-2.116597035040442,-0.5312439880975192,0.1924668920193308,4.447140659291331,0.0021020051449505005
56.68,VIC,0.207,0.262,0.18,0.111,0.049,0.121,2036,2479,0.376,0.318,0.127,0.282,0.17,0.025,0.144,0.184,0.393,0.059,0.083,0.127,0.012,0.034,0.006,0.913,62.97855653093407,-6.298556530934071,-1.6300736383221968,0.240479252300374,4.402433967408863,0.026290717631366485
54.49,VIC,0.272,0.241,0.158,0.086,0.025,0.151,1609,1750,0.246,0.257,0.093,0.187,0.192,0.033,0.168,0.12,0.171,0.167,0.104,0.151,0.07,0.094,0.007,0.705,53.76201108847159,0.7279889115284135,0.17921511763497852,0.16059360767433492,4.451822578553874,1.9202390058500172e-4
37.59,VIC,0.281,0.281,0.136,0.065,0.016,0.16,1530,1692,0.211,0.405,0.219,0.403,0.162,0.033,0.208,0.095,0.167,0.132,0.117,0.153,0.118,0.102,0.008,0.706,34.917675507008276,2.672324492991727,0.7276999348756057,0.3139658435111141,4.442505837502106,0.007573408073644015
54.17,QLD,0.245,0.227,0.192,0.101,0.023,0.202,1302,1680,0.229,0.207,0.076,0.186,0.175,0.035,0.21,0.114,0.196,0.146,0.142,0.126,0.056,0.102,0.008,0.659,53.51425482545661,0.6557451745433909,0.18550772864127046,0.3643497564741468,4.451779637364326,6.16416568441137e-4
49.36,QLD,0.211,0.264,0.164,0.102,0.046,0.16,1588,1950,0.271,0.234,0.103,0.149,0.171,0.034,0.158,0.118,0.251,0.125,0.106,0.163,0.05,0.083,0.006,0.813,53.606334589722536,-4.246334589722537,-1.059213517389716,0.18241404814818246,4.431385019636662,0.007822434068635553
55.04,NSW,0.252,0.264,0.161,0.095,0.024,0.199,1612,2000,0.254,0.211,0.055,0.159,0.155,0.034,0.183,0.102,0.152,0.146,0.107,0.175,0.107,0.097,0.008,0.627,49.35964794868778,5.680352051312219,1.448566486589047,0.21774983078761173,4.412993756494404,0.01825320152937018
44.54,NT,0.27,0.284,0.166,0.057,0.008,0.184,1757,2167,0.152,0.124,0.056,0.357,0.096,0.041,0.266,0.119,0.188,0.158,0.153,0.128,0.062,0.103,0.013,0.377,44.4430648678715,0.09693513212850036,0.04476549106512091,0.7614674043384253,4.452385983509873,1.999126660410764e-4
53.28,QLD,0.246,0.219,0.18,0.135,0.034,0.182,1256,1733,0.283,0.169,0.049,0.053,0.184,0.035,0.243,0.096,0.122,0.167,0.121,0.141,0.088,0.137,0.007,0.651,59.341466963000876,-6.061466963000875,-1.4760669843517844,0.14214205266055335,4.411475415295737,0.011281565211822869
65.17,NSW,0.205,0.144,0.222,0.206,0.066,0.162,967,1517,0.454,0.087,0.011,0.023,0.213,0.038,0.282,0.125,0.165,0.155,0.119,0.118,0.072,0.122,0.009,0.537,64.33360367334184,0.8363963266581607,0.20959676887430334,0.18992152268040885,4.451601554362178,3.218594598785869e-4
44.82,TAS,0.22,0.177,0.224,0.16,0.039,0.166,1014,1248,0.378,0.084,0.011,0.021,0.21,0.044,0.258,0.137,0.118,0.156,0.126,0.123,0.085,0.139,0.008,0.482,45.77611769965419,-0.9561176996541931,-0.25242980728288633,0.2701838473230659,4.451231245940835,7.371862116433906e-4
41.6,NSW,0.265,0.261,0.167,0.09,0.019,0.201,1573,1950,0.239,0.278,0.074,0.264,0.154,0.034,0.215,0.096,0.152,0.143,0.109,0.162,0.112,0.105,0.008,0.665,45.04815260128902,-3.448152601289017,-0.8499297027269199,0.16270409278755926,4.43888885141103,0.004386675861049379
63.22,NSW,0.231,0.185,0.188,0.131,0.052,0.119,2056,2700,0.367,0.266,0.075,0.143,0.207,0.031,0.129,0.176,0.258,0.128,0.098,0.141,0.031,0.057,0.006,0.819,64.14935721718052,-0.9293572171805238,-0.2368356763646046,0.2166729382079867,4.45137401516619,4.8484822718948876e-4
43.75,VIC,0.138,0.368,0.152,0.09,0.031,0.105,1864,2167,0.214,0.355,0.177,0.249,0.134,0.026,0.121,0.189,0.385,0.074,0.086,0.122,0.013,0.034,0.006,0.825,44.258148433669156,-0.508148433669156,-0.12827130102203202,0.2016483819030805,4.45211565522083,1.2987021294748224e-4
49.81,NSW,0.232,0.197,0.203,0.134,0.036,0.158,1556,1950,0.356,0.148,0.02,0.06,0.197,0.033,0.172,0.126,0.221,0.156,0.111,0.142,0.062,0.085,0.006,0.649,51.615175375882586,-1.805175375882584,-0.4562462788736969,0.20363501316755478,4.448527569071692,0.0016633704733210108
40.28,SA,0.221,0.234,0.179,0.125,0.039,0.167,1285,1500,0.308,0.28,0.09,0.201,0.198,0.031,0.197,0.098,0.169,0.153,0.127,0.157,0.069,0.108,0.005,0.731,43.166362534002516,-2.886362534002515,-0.724082526875878,0.191653338441994,4.442604302571316,0.0038845873922857743
66.23,VIC,0.22,0.187,0.208,0.158,0.06,0.156,974,1083,0.411,0.088,0.03,0.064,0.196,0.041,0.226,0.196,0.143,0.13,0.108,0.103,0.067,0.139,0.009,0.568,68.86171742819488,-2.631717428194875,-0.653178321584199,0.17417692260516324,4.444434833490559,0.002812011838441329
75.42,QLD,0.242,0.186,0.202,0.149,0.043,0.149,1083,1300,0.369,0.082,0.026,0.034,0.174,0.039,0.221,0.195,0.12,0.138,0.095,0.108,0.09,0.157,0.009,0.62,76.48979526535115,-1.0697952653511464,-0.2790090660009939,0.25211169995640453,4.450966916892924,8.200548734078513e-4
38.8,VIC,0.195,0.287,0.162,0.097,0.043,0.145,1604,2000,0.317,0.316,0.112,0.339,0.168,0.031,0.152,0.144,0.286,0.102,0.1,0.148,0.041,0.067,0.007,0.842,39.720607538991764,-0.9206075389917672,-0.21896032648877525,0.10072976900571334,4.451526469407247,1.6782185092963737e-4
52.54,SA,0.221,0.167,0.211,0.166,0.047,0.13,1248,1517,0.369,0.169,0.031,0.04,0.236,0.041,0.191,0.146,0.211,0.145,0.12,0.122,0.048,0.102,0.005,0.708,51.23654664711435,1.3034533528856471,0.3475496498552807,0.2844676009429534,4.450163186498433,0.0015006770442309032
44.98,VIC,0.268,0.221,0.175,0.098,0.023,0.149,1660,1750,0.282,0.148,0.043,0.096,0.198,0.039,0.167,0.122,0.174,0.174,0.115,0.151,0.069,0.082,0.006,0.695,48.39138471249724,-3.411384712497245,-0.822173808942179,0.12419756380163445,4.4397596495231495,0.002995602783434632
43.36,NSW,0.245,0.259,0.17,0.097,0.03,0.19,1412,2000,0.299,0.432,0.137,0.529,0.148,0.031,0.265,0.094,0.154,0.154,0.096,0.169,0.106,0.107,0.01,0.721,38.0585680501997,5.301431949800296,1.3460364088705925,0.21087683136118293,4.418398662855404,0.01513030591553022
62.2,QLD,0.219,0.218,0.182,0.127,0.047,0.18,1395,1928,0.295,0.247,0.081,0.102,0.209,0.032,0.17,0.121,0.204,0.147,0.126,0.133,0.041,0.088,0.006,0.782,58.35102822157358,3.8489717784264244,0.9590718774585366,0.1806694145821388,4.435182431653022,0.006338373172536819
32.94,VIC,0.099,0.544,0.107,0.059,0.019,0.12,1488,2000,0.156,0.456,0.294,0.39,0.106,0.022,0.104,0.149,0.409,0.072,0.105,0.11,0.015,0.047,0.006,0.851,28.600241947892613,4.339758052107385,1.316229486071766,0.44698128234458206,4.419894368528556,0.04375853353316116
57.53,VIC,0.211,0.205,0.196,0.137,0.053,0.122,1760,2000,0.441,0.348,0.102,0.352,0.197,0.029,0.175,0.168,0.285,0.11,0.092,0.144,0.025,0.054,0.007,0.882,59.18132865651392,-1.6513286565139182,-0.40564526128205486,0.15696375278805003,4.449344098227687,9.574055950459677e-4
68.63,NSW,0.258,0.206,0.171,0.106,0.029,0.106,2268,2500,0.33,0.359,0.105,0.333,0.171,0.027,0.146,0.167,0.295,0.103,0.08,0.163,0.032,0.047,0.006,0.868,65.10509217811125,3.524907821888746,0.881979559938913,0.18744921366951586,4.437847148456355,0.005607898834869518
57.36,VIC,0.221,0.179,0.208,0.167,0.052,0.157,1066,1374,0.399,0.119,0.018,0.042,0.217,0.044,0.223,0.154,0.146,0.169,0.111,0.111,0.07,0.128,0.009,0.563,57.74553318392924,-0.3855331839292404,-0.09483761395410435,0.1593130249388113,4.452255209745979,5.3263318914563894e-5
65.36,QLD,0.175,0.271,0.179,0.133,0.045,0.18,1261,1800,0.261,0.311,0.122,0.169,0.188,0.028,0.176,0.125,0.188,0.14,0.127,0.127,0.045,0.104,0.007,0.753,61.69858289699866,3.661417103001341,0.9551793256208692,0.2525182203932657,4.43532236813911,0.009631899852975655
61.65,WA,0.234,0.209,0.21,0.11,0.028,0.119,2002,2100,0.34,0.386,0.136,0.109,0.21,0.035,0.16,0.129,0.235,0.158,0.106,0.15,0.04,0.069,0.005,0.809,58.930003899070314,2.7199961009296842,0.7612752690620129,0.3505807663556059,4.441568401569393,0.009776792631507707
48.1,QLD,0.208,0.316,0.15,0.09,0.033,0.148,1602,1950,0.293,0.397,0.194,0.361,0.166,0.027,0.176,0.113,0.292,0.111,0.102,0.134,0.05,0.091,0.007,0.865,45.04665141521594,3.053348584784061,0.7596639564869717,0.1781704343407692,4.441614360405909,0.0039097315726705235
67.63,NSW,0.236,0.203,0.195,0.146,0.049,0.177,1089,1365,0.371,0.077,0.029,0.04,0.183,0.035,0.209,0.162,0.167,0.134,0.105,0.112,0.07,0.142,0.008,0.603,66.28564034525131,1.3443596547486862,0.33922755971539126,0.20104795755370314,4.45027016169766,9.049221782836427e-4
36.17,NSW,0.202,0.279,0.176,0.106,0.044,0.181,1398,1800,0.297,0.14,0.056,0.1,0.185,0.03,0.18,0.102,0.28,0.128,0.123,0.131,0.049,0.082,0.006,0.766,34.318587528858885,1.851412471141117,0.4658338533629101,0.1964437134799752,4.448362035845333,0.0016578069162440643
70.03,VIC,0.228,0.195,0.201,0.15,0.052,0.164,1112,1300,0.368,0.111,0.041,0.084,0.192,0.043,0.211,0.162,0.144,0.142,0.11,0.107,0.072,0.15,0.01,0.58,69.79145751977327,0.23854248022672664,0.060061011795829344,0.1975495969378585,4.452355987741542,2.7751934274700734e-5
59.27,NSW,0.199,0.261,0.162,0.104,0.039,0.108,2352,2700,0.291,0.387,0.153,0.286,0.139,0.027,0.128,0.201,0.418,0.057,0.068,0.126,0.012,0.027,0.005,0.884,54.30465466990871,4.965345330091296,1.25596367835191,0.20490909966584128,4.422814720448186,0.01270423866326079
64.48,WA,0.24,0.198,0.205,0.128,0.036,0.141,1325,1517,0.339,0.176,0.061,0.073,0.182,0.046,0.201,0.17,0.131,0.166,0.097,0.102,0.114,0.125,0.008,0.534,68.29476190489578,-3.814761904895775,-0.9841503180988312,0.235664508221729,4.4342671130488505,0.009332178798860443
43.61,QLD,0.269,0.256,0.158,0.08,0.021,0.186,1557,1750,0.225,0.346,0.135,0.278,0.159,0.031,0.198,0.104,0.199,0.129,0.117,0.146,0.087,0.108,0.008,0.726,50.73641908250026,-7.126419082500263,-1.7737504422129415,0.17883636249835277,4.393171344198987,0.021412194176482203
59.45,NSW,0.219,0.167,0.225,0.162,0.055,0.189,998,1387,0.407,0.09,0.019,0.037,0.217,0.034,0.262,0.126,0.172,0.135,0.125,0.122,0.066,0.139,0.009,0.557,53.1961188458058,6.253881154194204,1.5944591316269778,0.2173916265555258,4.404606216959724,0.022068617510452554
66.91,NSW,0.246,0.208,0.196,0.132,0.045,0.196,1143,1300,0.357,0.055,0.022,0.033,0.162,0.039,0.217,0.181,0.149,0.131,0.115,0.11,0.09,0.12,0.01,0.504,67.9647319391795,-1.0547319391795043,-0.28082804014845103,0.28241180850767905,4.45094786005938,9.699258373276166e-4
46.5,NSW,0.222,0.315,0.143,0.078,0.028,0.142,1596,2000,0.209,0.535,0.269,0.596,0.137,0.027,0.218,0.105,0.283,0.114,0.09,0.148,0.065,0.087,0.01,0.802,44.71157915555842,1.788420844441582,0.4763442061862388,0.2829165514914802,4.448176607903369,0.002797566723785736
44.96,NSW,0.239,0.211,0.184,0.14,0.042,0.185,1236,1680,0.333,0.091,0.022,0.036,0.192,0.035,0.241,0.093,0.144,0.176,0.121,0.128,0.098,0.12,0.007,0.543,49.64980860155484,-4.689808601554837,-1.1316629194139194,0.12632865298629142,4.428400493080696,0.0057867932462246545
57.52,WA,0.27,0.254,0.157,0.085,0.02,0.154,1658,2076,0.196,0.356,0.168,0.129,0.181,0.041,0.185,0.111,0.14,0.187,0.119,0.14,0.085,0.106,0.006,0.642,52.944506379390475,4.575493620609528,1.152117672002547,0.19766773231863716,4.427521752303825,0.010219395788374726
45.07,WA,0.166,0.312,0.17,0.101,0.039,0.127,1700,2042,0.261,0.378,0.162,0.253,0.161,0.031,0.153,0.133,0.302,0.126,0.102,0.131,0.041,0.072,0.006,0.773,50.99264060119171,-5.922640601191709,-1.4762094457179722,0.18114533790606613,4.4114674740868125,0.015064902201002756
58.4,QLD,0.242,0.219,0.168,0.121,0.045,0.184,1387,1800,0.267,0.253,0.105,0.115,0.179,0.035,0.207,0.105,0.181,0.144,0.123,0.157,0.068,0.104,0.007,0.732,55.789872387698026,2.610127612301973,0.6413504693355127,0.15743255466398218,4.4447217813653,0.0024017661694759017
43.56,QLD,0.275,0.261,0.156,0.085,0.018,0.2,1431,1720,0.221,0.365,0.157,0.29,0.168,0.032,0.227,0.089,0.164,0.141,0.109,0.149,0.107,0.125,0.009,0.73,47.40517384643688,-3.8451738464368788,-0.9567731676238087,0.17835160379071094,4.435265139166926,0.00620953391084195
53.18,NSW,0.175,0.342,0.154,0.087,0.037,0.128,1898,2300,0.272,0.497,0.222,0.524,0.142,0.027,0.154,0.153,0.317,0.096,0.082,0.142,0.031,0.063,0.009,0.842,56.49799846212694,-3.317998462126937,-0.8309500026134349,0.188899628141023,4.439487453733167,0.005025234251501595
45.92,NSW,0.204,0.163,0.218,0.166,0.065,0.185,1099,1733,0.395,0.147,0.032,0.047,0.242,0.036,0.225,0.123,0.199,0.149,0.132,0.114,0.049,0.11,0.008,0.626,46.59992026746082,-0.6799202674608154,-0.17272953774022398,0.21176669798963577,4.451865285569849,2.504875405949692e-4
69.48,NSW,0.239,0.208,0.189,0.14,0.051,0.168,1147,1300,0.368,0.07,0.026,0.042,0.181,0.036,0.198,0.168,0.16,0.145,0.114,0.112,0.069,0.124,0.007,0.581,67.03216025094204,2.4478397490579624,0.6195933367003419,0.20599266368800864,4.445235876703117,0.0031123665360727176
54.24,NSW,0.214,0.189,0.198,0.15,0.06,0.177,1304,1900,0.357,0.172,0.04,0.071,0.202,0.035,0.201,0.123,0.219,0.145,0.119,0.141,0.046,0.09,0.007,0.693,52.361026704022564,1.8789732959774383,0.44504869955846715,0.09322785644580658,4.448716534153006,6.363742866452652e-4
56.03,QLD,0.219,0.296,0.154,0.098,0.033,0.123,1952,2167,0.312,0.286,0.135,0.163,0.158,0.026,0.129,0.142,0.369,0.082,0.106,0.135,0.021,0.049,0.004,0.894,56.70616983520026,-0.6761698352002554,-0.17285019352056144,0.22152643175508363,4.451864505433723,2.656876959546176e-4
28.34,VIC,0.235,0.274,0.16,0.094,0.03,0.162,1388,1733,0.311,0.399,0.152,0.51,0.171,0.035,0.224,0.092,0.161,0.147,0.112,0.147,0.095,0.115,0.009,0.786,34.03347424230458,-5.693474242304578,-1.42278778092201,0.18539608367895766,4.4143906452255,0.014397408838311167
45.55,NSW,0.223,0.194,0.194,0.151,0.054,0.179,1262,1733,0.393,0.099,0.019,0.042,0.208,0.034,0.221,0.099,0.197,0.16,0.119,0.142,0.065,0.099,0.006,0.609,49.64800943273069,-4.0980094327306915,-0.9940722525927163,0.13546609275437388,4.433898404095454,0.004838764640456578
46.92,NT,0.236,0.297,0.162,0.069,0.011,0.147,2160,2167,0.155,0.285,0.155,0.234,0.117,0.042,0.131,0.125,0.21,0.157,0.126,0.146,0.054,0.086,0.007,0.639,47.01693513212873,-0.09693513212872773,-0.044765491065123425,0.761467404338425,4.452385983509873,1.9991266604109845e-4
35.87,SA,0.259,0.256,0.171,0.096,0.034,0.245,1052,1300,0.225,0.232,0.072,0.159,0.184,0.033,0.28,0.088,0.105,0.151,0.136,0.128,0.108,0.159,0.008,0.581,35.98389791095687,-0.1138979109568723,-0.03152918456097979,0.33613760790753805,4.452404875742656,1.572948623861661e-5
55.65,WA,0.201,0.271,0.165,0.114,0.044,0.148,1475,1986,0.3,0.397,0.167,0.312,0.183,0.032,0.178,0.117,0.239,0.144,0.108,0.137,0.053,0.093,0.006,0.775,51.151492273647214,4.498507726352784,1.0992505659789895,0.14804712575701534,4.429760357774814,0.006561873069408096
56.87,SA,0.202,0.224,0.18,0.137,0.062,0.143,1366,1733,0.363,0.315,0.127,0.283,0.201,0.028,0.17,0.13,0.31,0.103,0.106,0.14,0.031,0.072,0.005,0.853,54.58988273786058,2.28011726213942,0.5772804405242691,0.20637981357781232,4.446184723106265,0.0027081843085999687
52.69,WA,0.18,0.334,0.155,0.095,0.039,0.14,1527,2000,0.246,0.411,0.216,0.298,0.153,0.029,0.166,0.113,0.251,0.14,0.109,0.132,0.064,0.093,0.006,0.791,50.957278396450775,1.7327216035492228,0.4378624992507815,0.20337468365035385,4.448835327407843,0.0015295663171622845
31.33,NSW,0.081,0.509,0.122,0.063,0.017,0.101,1933,2500,0.137,0.482,0.286,0.368,0.097,0.023,0.101,0.168,0.374,0.081,0.104,0.111,0.015,0.052,0.007,0.806,32.55661043903778,-1.2266104390377848,-0.35307360147144184,0.38601912345683553,4.450090746575399,0.002449257758706442
61.47,WA,0.219,0.213,0.193,0.127,0.052,0.126,1797,2142,0.408,0.394,0.146,0.251,0.199,0.028,0.175,0.137,0.3,0.115,0.096,0.141,0.038,0.068,0.005,0.871,60.11337330673662,1.3566266932633795,0.33618050041629716,0.17158547629815923,4.450308680684869,7.315228234018448e-4
60.38,VIC,0.219,0.184,0.214,0.153,0.053,0.147,1095,1233,0.406,0.078,0.022,0.031,0.215,0.045,0.198,0.179,0.145,0.136,0.112,0.098,0.073,0.147,0.009,0.594,60.816002435771715,-0.43600243577171227,-0.10802865063302246,0.17134843495959973,4.452205145564312,7.541124515072906e-5
52.12,NSW,0.219,0.221,0.174,0.109,0.041,0.112,2384,2970,0.318,0.328,0.131,0.163,0.167,0.03,0.125,0.21,0.347,0.08,0.083,0.125,0.018,0.036,0.005,0.856,54.741046431898496,-2.621046431898499,-0.6826992964914401,0.2501704608364384,4.44369568292801,0.0048593973850636785
36.48,NSW,0.234,0.28,0.161,0.091,0.037,0.173,1281,2000,0.281,0.493,0.173,0.658,0.159,0.031,0.246,0.097,0.199,0.135,0.106,0.138,0.083,0.114,0.012,0.818,38.95795350779757,-2.4779535077975723,-0.629597903118304,0.21198989189669318,4.445001691311127,0.0033324215366482123
59.85,NSW,0.177,0.29,0.154,0.107,0.043,0.112,2380,3000,0.286,0.355,0.14,0.182,0.143,0.028,0.109,0.208,0.407,0.06,0.079,0.109,0.012,0.029,0.006,0.835,53.20362721689189,6.646372783108113,1.734180245054704,0.2527723217418789,4.395802381574195,0.03179179564236661
44.53,NSW,0.273,0.249,0.169,0.079,0.022,0.19,1572,2080,0.248,0.415,0.094,0.541,0.147,0.031,0.25,0.094,0.161,0.143,0.096,0.161,0.115,0.112,0.011,0.757,41.44778842084522,3.08221157915478,0.7890239628912491,0.22372332684406893,4.440761580669758,0.0056069300838663735
39.09,NSW,0.234,0.2,0.188,0.144,0.049,0.181,1303,1800,0.375,0.174,0.024,0.103,0.203,0.035,0.224,0.103,0.158,0.17,0.126,0.132,0.082,0.108,0.007,0.622,44.217927108536145,-5.1279271085361415,-1.2351152184880783,0.12311878316907526,4.423792702019103,0.006693426744331468
63.15,QLD,0.213,0.151,0.227,0.183,0.049,0.17,1009,1400,0.392,0.142,0.03,0.034,0.207,0.033,0.292,0.126,0.154,0.153,0.127,0.118,0.069,0.13,0.008,0.634,59.87022280404508,3.279777195954921,0.8382948928646649,0.2213055667879205,4.439257415641103,0.006241211941441486
24.15,VIC,0.183,0.329,0.138,0.083,0.048,0.142,1494,1950,0.3,0.343,0.139,0.385,0.166,0.031,0.165,0.121,0.312,0.116,0.103,0.134,0.042,0.072,0.007,0.842,21.55939907018756,2.590600929812439,0.6735650296887227,0.24748701489994962,4.443927891552066,0.004662807681436183
64.58,QLD,0.256,0.202,0.192,0.117,0.027,0.139,1482,1820,0.297,0.168,0.041,0.054,0.187,0.037,0.198,0.129,0.141,0.169,0.103,0.139,0.086,0.128,0.007,0.7,59.86843473758908,4.711565262410922,1.1498296899336709,0.14584750821398482,4.427620835136076,0.007054734272804835
