Liberal/National Coalition Percentage,StateAb,0-17,18-34,50-64,65-79,80+,One parent family,Median weekly household income,Medain monthly mortgage repayments,Owned outright,Overseas,Recent Migrant,LOTE spoken at home,Partially engaged,At least partially engaged,Not engaged,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Machinery Operators and Drivers,Labourers,Not stated,Year 12 equivalent,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
54.92,QLD,0.156,0.385,0.148,0.073,0.024,0.11,1871,2167,0.2,0.283,0.153,0.182,0.137,0.025,0.118,0.151,0.357,0.082,0.097,0.135,0.022,0.058,0.005,0.852,51.12999287253409,3.7900071274659126,0.9514175492012809,0.19274682007977675,4.435457058352802,0.006754135899050387
35.85,VIC,0.216,0.277,0.173,0.107,0.036,0.186,1198,1517,0.308,0.532,0.209,0.575,0.159,0.03,0.259,0.078,0.135,0.163,0.108,0.123,0.115,0.157,0.011,0.742,35.54921649254904,0.3007835074509586,0.08067304331212433,0.29283104893135076,4.452301719126865,8.421720844066834e-5
45.01,WA,0.258,0.265,0.157,0.086,0.023,0.164,1539,1900,0.234,0.403,0.19,0.271,0.175,0.034,0.21,0.089,0.163,0.17,0.112,0.144,0.098,0.108,0.006,0.68,48.50778213683439,-3.4977821368343953,-0.8440268179233227,0.126334782827955,4.439076480032616,0.0032191440149248875
63.29,NSW,0.24,0.209,0.189,0.136,0.045,0.174,1207,1560,0.358,0.083,0.021,0.038,0.178,0.036,0.2,0.133,0.17,0.152,0.117,0.12,0.086,0.116,0.008,0.549,60.51985055149175,2.770149448508249,0.6728829579905063,0.13781717369426585,4.443945104994709,0.002261689861885365
31.2,VIC,0.269,0.277,0.154,0.078,0.019,0.18,1329,1684,0.258,0.403,0.164,0.531,0.158,0.033,0.271,0.09,0.136,0.151,0.12,0.143,0.115,0.119,0.011,0.735,31.64979796818507,-0.4497979681850701,-0.11267424562413521,0.18930464012220385,4.4521859636866985,9.264093119670957e-5
32.92,ACT,0.178,0.325,0.159,0.101,0.041,0.122,2091,2167,0.286,0.283,0.124,0.217,0.126,0.03,0.117,0.187,0.376,0.064,0.098,0.137,0.012,0.042,0.004,0.876,39.32874073447671,-6.408740734476709,-1.924418384673802,0.43581902445133924,4.382594197079651,0.089399844399303
61.55,WA,0.233,0.203,0.188,0.147,0.043,0.144,1341,1950,0.312,0.257,0.087,0.068,0.189,0.042,0.236,0.102,0.135,0.2,0.111,0.123,0.11,0.107,0.006,0.611,56.82267679408675,4.727323205913244,1.2165680265984427,0.23187867568329773,4.424648796517892,0.013962198485954426
62.35,QLD,0.25,0.223,0.189,0.107,0.033,0.156,1420,1733,0.294,0.095,0.041,0.047,0.166,0.039,0.197,0.107,0.144,0.185,0.101,0.121,0.126,0.116,0.006,0.639,61.15305727809305,1.1969427219069502,0.3102802297239861,0.24297441969788763,4.450622050380728,9.656243951627987e-4
54.64,VIC,0.232,0.215,0.197,0.122,0.032,0.153,1501,1733,0.34,0.163,0.032,0.072,0.213,0.039,0.169,0.128,0.178,0.186,0.114,0.135,0.055,0.096,0.007,0.699,45.595765750492696,9.044234249507305,2.249453169411977,0.17764049036780402,4.356733700939745,0.03415735067948056
37.63,NSW,0.272,0.264,0.158,0.085,0.023,0.219,1477,1960,0.216,0.411,0.143,0.425,0.14,0.033,0.246,0.073,0.149,0.129,0.107,0.159,0.143,0.126,0.011,0.707,38.606810002970946,-0.976810002970943,-0.26061165857778407,0.2853316601072434,4.4511526963919845,8.473895853769954e-4
50.57,VIC,0.201,0.274,0.164,0.11,0.058,0.145,1472,2000,0.379,0.44,0.198,0.433,0.175,0.024,0.173,0.143,0.321,0.098,0.094,0.136,0.027,0.065,0.008,0.892,49.78500839717289,0.7849916028271124,0.19800177797208227,0.20041641674334146,4.451689984114892,3.0708430909185156e-4
33.83,TAS,0.2,0.251,0.19,0.125,0.048,0.186,1224,1408,0.318,0.18,0.075,0.121,0.2,0.032,0.187,0.113,0.27,0.117,0.128,0.139,0.04,0.084,0.005,0.748,35.57278762740938,-1.7427876274093848,-0.47161953765819714,0.30533185115002026,4.4482604752545045,0.0030551203447095323
69.02,NSW,0.212,0.213,0.185,0.126,0.058,0.143,1805,2500,0.38,0.221,0.048,0.213,0.183,0.035,0.145,0.158,0.237,0.126,0.101,0.164,0.041,0.055,0.007,0.814,59.999073844410205,9.020926155589791,2.2945057252801857,0.2136860313018138,4.352818049818711,0.04471038971184461
23.68,VIC,0.185,0.303,0.152,0.089,0.046,0.153,1454,1950,0.302,0.326,0.126,0.358,0.176,0.029,0.162,0.127,0.317,0.108,0.102,0.129,0.039,0.074,0.007,0.837,24.052193128465973,-0.3721931284659732,-0.09248015146303665,0.1760294992325861,4.4522634712530005,5.709799736731722e-5
48.93,VIC,0.231,0.198,0.188,0.145,0.046,0.129,1378,1668,0.381,0.127,0.033,0.053,0.224,0.038,0.174,0.131,0.212,0.16,0.124,0.12,0.048,0.091,0.007,0.752,49.269203849563496,-0.33920384956349636,-0.0860395045182943,0.20932543190421993,4.452284981708103,6.124491681005403e-5
39.68,VIC,0.217,0.24,0.183,0.121,0.049,0.191,1201,1500,0.331,0.178,0.056,0.132,0.195,0.035,0.202,0.105,0.209,0.142,0.127,0.12,0.066,0.11,0.007,0.695,40.219982934582234,-0.539982934582234,-0.12962997153042458,0.11728349924898036,4.452109099544761,6.9771256309439e-5
49.17,WA,0.252,0.243,0.172,0.094,0.026,0.158,1620,1993,0.266,0.38,0.14,0.268,0.194,0.037,0.195,0.097,0.157,0.177,0.113,0.147,0.075,0.112,0.007,0.725,52.36460203723205,-3.194602037232052,-0.7704462958289405,0.12537716407986996,4.4413049563735605,0.002659086067923301
61.88,NSW,0.212,0.169,0.212,0.176,0.066,0.196,1000,1517,0.398,0.116,0.027,0.044,0.219,0.035,0.259,0.115,0.19,0.138,0.133,0.125,0.055,0.119,0.008,0.564,56.14835907194964,5.731640928050361,1.3893822336605193,0.13426197140171184,4.416162867551206,0.009355349763687341
